Created At;Title;Severity;Status;Description;Resource Type;Resource external ID;Subscription ID;Project IDs;Project Names;Resolved Time;Resolution;Control ID;Resource Name;Resource Region;Resource Status;Resource Platform;Resource OS;Resource original JSON;Issue ID;Resource vertex ID;Ticket URLs;Note;Due At;Remediation Recommendation;Subscription Name;Wiz URL;Cloud Provider URL;Resource Tags;Kubernetes Cluster;Kubernetes Namespace;Container Service;Provider ID;Risks;Threats;Status Changed At;Updated At;Assignee Name
2025-04-05T23:57:22Z;Weak TLS on load balancer;Medium;Resolved;Outdated packages detected. Patch to latest security releases.;Load Balancer;sample-136053;core-subscription;core-subscription;core-subscription;sample-716938;sample-454175;sample-098253;stg-lb-61l59y;northeurope;Resolved;sample-239583;sample-555867;sample-774788;sample-916737;sample-901884;sample-174935;sample-532874;sample-760966;sample-135705;core-subscription;sample-888455;Azure;sample-118114;sample-729461;sample-721352;None;/subscriptions/eb33cf06-9b7e-4822-8b1d-20bdb925d327/resourceGroups/rg-stg-lb-61l59y/providers/Microsoft.Compute/virtualMachines/stg-lb-61l59y;Secret Exposure, Privilege Escalation, Compliance;Known Bad IP, Brute Force, CVE-2024-12345;2025-05-26T23:57:22Z;2025-06-24T23:57:22Z;Dana Hoffmann
2025-06-04T09:09:49Z;Open admin port on serverless function;Medium;Ignored;Excessive permissions found. Apply least-privilege.;Serverless Function;sample-201010;446050792382;446050792382;446050792382;sample-339824;sample-412349;sample-884376;prod-fn-obcrr6;eu-central-1;Open;sample-345084;sample-650941;sample-749816;sample-673630;sample-754308;sample-284929;sample-794062;sample-407292;sample-406230;446050792382;sample-945333;AWS;sample-582384;sample-763906;sample-338979;None;arn:aws:ec2:eu-central-1:422805545908:res-12a93a9e3d;Misconfiguration;Botnet, CVE-2025-0101;2025-06-24T09:09:49Z;2025-08-14T09:09:49Z;—
2024-12-02T07:20:05Z;Weak TLS on container;Medium;Open;Outdated packages detected. Patch to latest security releases.;Container;sample-215158;security-subscription;security-subscription;security-subscription;sample-912498;sample-625852;sample-707878;stg-ctr-lm6p7j;northeurope;Resolved;sample-787922;sample-553799;sample-992391;sample-479554;sample-413488;sample-724833;sample-822369;sample-452032;sample-428005;security-subscription;sample-012952;Azure;sample-883335;sample-559671;sample-474875;None;/subscriptions/8c70be0b-ddc9-4e1b-898e-b328e1c34330/resourceGroups/rg-stg-ctr-lm6p7j/providers/Microsoft.Compute/virtualMachines/stg-ctr-lm6p7j;Public Exposure, Ransomware, Misconfiguration;Unusual Admin Activity;2024-12-12T07:20:05Z;2025-02-13T07:20:05Z;Alice Müller
2025-02-18T16:12:44Z;Weak TLS on virtual machine;Medium;Open;Resource appears publicly accessible. Restrict network exposure.;Virtual Machine;sample-329782;security-subscription;security-subscription;security-subscription;sample-366950;sample-329504;sample-522820;stg-vm-q42vro;germanywestcentral;In Progress;sample-355358;sample-635195;sample-205450;sample-933512;sample-346918;sample-131356;sample-836067;sample-163046;sample-230560;security-subscription;sample-230563;Azure;sample-647616;sample-294105;sample-396156;None;/subscriptions/6946a201-7401-4b5b-af4f-b7946eac1cdc/resourceGroups/rg-stg-vm-q42vro/providers/Microsoft.Compute/virtualMachines/stg-vm-q42vro;Misconfiguration, Data Exfiltration, Privilege Escalation;CVE-2024-12345, Unusual Admin Activity, CryptoMiner;2025-04-27T16:12:44Z;2025-04-05T16:12:44Z;Bob Schneider
2025-07-06T00:11:06Z;Excessive permissions on load balancer;High;Accepted Risk;Admin port exposed externally. Restrict inbound rules.;Load Balancer;sample-166519;proj-t4fmuhje;proj-t4fmuhje;proj-t4fmuhje;sample-280912;sample-901681;sample-966494;dev-lb-dshseo;us-central1;Open;sample-290154;sample-628851;sample-730411;sample-509970;sample-085107;sample-289993;sample-893346;sample-355797;sample-274436;proj-t4fmuhje;sample-633790;GCP;sample-066542;sample-150722;sample-989259;None;projects/proj-0mvvb3h3/global/resources/dev-lb-dshseo;Compliance, Lateral Movement;Botnet, Suspicious Beaconing, CVE-2025-0101;2025-09-05T00:11:06Z;2025-09-16T00:11:06Z;Dana Hoffmann
2025-02-27T19:45:41Z;Outdated packages on kubernetes pod;Informational;Open;Outdated packages detected. Patch to latest security releases.;Kubernetes Pod;sample-600393;proj-0emwy5ot;proj-0emwy5ot;proj-0emwy5ot;sample-959334;sample-428409;sample-137456;dev-pod-fryij2;europe-west1;Open;sample-705737;sample-107145;sample-782607;sample-683257;sample-494544;sample-607057;sample-735050;sample-063136;sample-456218;proj-0emwy5ot;sample-604242;GCP;sample-279992;sample-875066;sample-974905;GKE;projects/proj-47bvnww5/global/resources/dev-pod-fryij2;Lateral Movement;Unusual Admin Activity;2025-03-17T19:45:41Z;2025-03-05T19:45:41Z;—
2025-07-26T15:44:13Z;Open admin port on virtual machine;Informational;Open;Outdated packages detected. Patch to latest security releases.;Virtual Machine;sample-038964;data-subscription;data-subscription;data-subscription;sample-298468;sample-978793;sample-039555;stg-vm-pce9f0;northeurope;Resolved;sample-994096;sample-807015;sample-822975;sample-127827;sample-624570;sample-466602;sample-660825;sample-256593;sample-173220;data-subscription;sample-837044;Azure;sample-198242;sample-723096;sample-606436;None;/subscriptions/637f2a68-cc7b-4648-9f0e-9feca43f039f/resourceGroups/rg-stg-vm-pce9f0/providers/Microsoft.Compute/virtualMachines/stg-vm-pce9f0;Privilege Escalation, Public Exposure, Data Exfiltration;CryptoMiner, Suspicious Beaconing;2025-09-13T15:44:13Z;2025-08-26T15:44:13Z;Alice Müller
2025-02-26T06:16:53Z;Excessive permissions on vpc firewall rule;Medium;Resolved;Secret-like data detected. Rotate and purge sensitive info.;VPC Firewall Rule;sample-091292;proj-zwfv5ebb;proj-zwfv5ebb;proj-zwfv5ebb;sample-652474;sample-033023;sample-184690;dev-fw-h250el;asia-southeast1;Open;sample-870476;sample-187959;sample-145086;sample-171481;sample-170055;sample-249350;sample-624383;sample-823231;sample-837903;proj-zwfv5ebb;sample-220203;GCP;sample-266252;sample-042288;sample-509672;None;projects/proj-xcrbc5lr/global/resources/dev-fw-h250el;Compliance, Misconfiguration;Brute Force;2025-02-27T06:16:53Z;2025-05-13T06:16:53Z;Bob Schneider
2024-11-24T06:21:05Z;Weak TLS on managed disk;High;Open;Outdated packages detected. Patch to latest security releases.;Managed Disk;sample-883180;proj-ofmfxe9l;proj-ofmfxe9l;proj-ofmfxe9l;sample-746615;sample-414502;sample-896405;dev-disk-h00g3a;asia-southeast1;Accepted Risk;sample-494604;sample-122531;sample-461272;sample-663348;sample-580505;sample-578160;sample-493404;sample-240075;sample-280783;proj-ofmfxe9l;sample-292190;GCP;sample-603595;sample-888882;sample-188281;None;projects/proj-4it74de8/global/resources/dev-disk-h00g3a;Privilege Escalation;Botnet;2024-12-31T06:21:05Z;2024-12-08T06:21:05Z;Alice Müller
2025-06-16T18:54:14Z;Public access on object storage bucket;Medium;Resolved;Resource appears publicly accessible. Restrict network exposure.;Object Storage Bucket;sample-400440;proj-5zrkeswm;proj-5zrkeswm;proj-5zrkeswm;sample-241274;sample-790757;sample-794390;dev-bucket-y1au9p;us-central1;Resolved;sample-843396;sample-999676;sample-169318;sample-297596;sample-592241;sample-938990;sample-053321;sample-775814;sample-683800;proj-5zrkeswm;sample-197770;GCP;sample-849286;sample-501680;sample-425510;None;projects/proj-4krc0muj/global/resources/dev-bucket-y1au9p;Privilege Escalation, Secret Exposure, Compliance;Botnet, Unusual Admin Activity, Brute Force;2025-07-28T18:54:14Z;2025-07-21T18:54:14Z;Bob Schneider
